;sp260223_002 ch: 1907283U1;;sp260223_002 ch: 7513481SP;
Wavelength [nm];Intensity;Wavelength [nm];intensity;
358,7627;137,54962;342,8734;68,168914;
359,0516;131,17054;343,1606;62,743184;
359,3405;127,54603;343,4477;57,472883;
359,6294;126,19655;343,7349;63,649499;
359,9182;126,05787;344,0221;65,624018;
360,2071;127,58576;344,3093;67,726819;
360,4960;120,27939;344,5965;67,427183;
360,7849;124,42355;344,8837;68,115598;
361,0738;129,6492;345,1709;65,826271;
361,3627;129,22478;345,4581;59,245002;
361,6516;128,13633;345,7453;61,381208;
361,9405;122,39556;346,0325;67,21324;
362,2294;114,14323;346,3197;64,391148;
362,5183;126,03295;346,6068;64,886079;
362,8072;120,49353;346,8940;69,353483;
363,0961;110,26676;347,1812;65,871087;
363,3850;123,85204;347,4684;67,295349;
363,6739;121,23124;347,7556;64,419735;
363,9628;116,32957;348,0428;62,300647;
364,2517;127,90417;348,3300;66,799506;
364,5405;127,00112;348,6172;61,34551;
364,8294;124,04046;348,9044;48,989036;
365,1183;119,63447;349,1916;62,702074;
365,4072;125,58916;349,4788;73,770741;
365,6961;127,21961;349,7660;74,514587;
365,9850;126,45925;350,0531;64,690626;
366,2739;131,61726;350,3403;70,020915;
366,5628;131,148;350,6275;69,979871;
