Wavelength [nm]	Intensity
482.6981	21622.635
482.987	21767.664
483.2759	21908.685
483.5648	22058.095
483.8537	22130.3
484.1426	22259.084
484.4315	22352.415
484.7204	22509.355
485.0092	22598.815
485.2981	22747.604
485.587	22850.75
485.8759	22983.922
486.1648	22882.473
486.4537	22963.046
486.7426	23016.821
487.0315	23046.483
487.3204	22927.053
487.6093	23092.044
487.8982	23044.152
488.1871	23070.83
488.476	23080.086
488.7649	23126.249
489.0538	23148.737
489.3427	23264.974
489.6315	23150.616
489.9204	23175.334
490.2093	23197.815
490.4982	23282.057
490.7871	23354.476
491.076	23385.447
491.3649	23378.227
491.6538	23495.887
491.9427	23483.384
492.2316	23529.446
492.5205	23602.45
492.8094	23618.534
493.0983	23568.078
493.3872	23603.726
493.6761	23599.704
493.965	23603.203
494.2538	23596.826
494.5427	23552.866
494.8316	23503.767
495.1205	23568.561
495.4094	23541.88
495.6983	23431.189
495.9872	23430.866
496.2761	23443.375
496.565	23449.309
496.8539	23484.221
497.1428	23559.805
497.4317	23630.052
497.7206	23741.534
498.0095	23720.804
498.2984	23720.923
498.5873	23752.807
498.8761	23901.963
499.165	23918.473
499.4539	24009.858
499.7428	23984.179
500.0317	24074.992
500.3206	24010.906
500.6095	24003.901
500.8984	23995.509
501.1873	23965.499
501.4762	23774.835
501.7651	23749.673
502.054	23771.129
502.3429	23906.874
502.6318	23756.839
502.9207	23881.976
503.2096	23794.238
503.4984	23918.904
503.7873	23824.732
504.0762	23993.036
504.3651	23836.622
504.654	23881.765
504.9429	23945.826
505.2318	24073.368
505.5207	23974.428
505.8096	24040.946
506.0985	23935.851
506.3874	24021.445
506.6763	24006.918
506.9652	23993.229
507.2541	24032.938
507.543	24009.786
507.8319	23975.429
508.1207	23999.306
508.4096	23928.692
508.6985	24014.116
508.9874	23961.101
509.2763	23979.57
509.5652	23963.516
509.8541	23971.9
510.143	23999.537
510.4319	23984.422
510.7208	23965.11
511.0097	23947.1
511.2986	23948.896
511.5875	23986.414
511.8764	23951.315
512.1653	23912.809
512.4542	23974.004
512.743	23988.758
513.0319	23986.064
513.3208	23934.096
513.6097	24005.828
513.8986	23946.94
514.1875	23974.158
514.4764	23942.373
514.7653	23877.881
515.0542	23975.352
515.3431	23949.805
515.632	23752.551
515.9209	23781.933
516.2098	23818.457
516.4987	23826.752
516.7876	23763.755
517.0765	23779.647
517.3653	23594.899
517.6542	23643.92
517.9431	23538.489
518.232	23655.6
518.5209	23497.283
518.8098	23653.301
519.0987	23550.939
519.3876	23709.29
519.6765	23729.921
519.9654	23812.292
520.2543	24035.139
520.5432	24184.94
520.8321	24219.467
521.121	24405.47
521.4099	24415.467
521.6988	24536.081
521.9877	24612.593
522.2765	24723.698
522.5654	24689.288
522.8543	24729.616
523.1432	24740.626
523.4321	24761.933
523.721	24834.351
524.0099	24844.24
524.2988	24849.829
524.5877	24963.476
524.8766	25025.828
525.1655	25062.917
525.4544	25103.041
525.7433	25132.254
526.0322	25112.67
526.3211	25235.809
526.61	25298.498
526.8988	25348.503
527.1877	25360.469
527.4766	25367.142
527.7655	25465.324
528.0544	25568.16
528.3433	25602.444
528.6322	25673.886
528.9211	25739.083
529.21	25743.097
529.4989	25814.756
529.7878	25873.546
530.0767	25933.888
530.3656	25947.847
530.6545	26042.366
530.9434	26078.079
531.2323	26131.012
531.5211	26127.74
531.81	26242.913
532.0989	26323.737
532.3878	26371.435
532.6767	26407.609
532.9656	26482.734
533.2545	26629.09
533.5434	26724.958
533.8323	26724.622
534.1212	26816.765
534.4101	26810.046
534.699	26945.843
534.9879	26927.611
535.2768	27099.013
535.5657	27090.291
535.8546	27224.867
536.1434	27161.886
536.4323	27314.63
536.7212	27353.692
537.0101	27516.116
537.299	27398.944
537.5879	27407.152
537.8768	27570.965
538.1657	27652.98
538.4546	27672.095
538.7435	27808.615
539.0324	27908.013
539.3213	28031.87
539.6102	28130.189
539.8991	28237.347
540.188	28356.176
540.4769	28599.25
540.7657	28492.638
541.0546	28667.273
541.3435	28759.391
541.6324	28849.588
541.9213	28962.421
542.2102	29059.236
542.4991	29096.434
542.788	29143.907
543.0769	29171.705
543.3658	29200.421
543.6547	29323.959
543.9436	29395.666
544.2325	29388.643
544.5214	29586.305
544.8103	29793.98
545.0992	29861.946
545.388	30005.658
545.6769	30270.667
545.9658	30416.601
546.2547	30553.073
546.5436	30723.359
546.8325	30863.988
547.1214	31102.13
547.4103	31342.687
547.6992	31459.841
547.9881	31569.224
548.277	31735.231
548.5659	31889.473
548.8548	32040.07
549.1437	32257.138
549.4326	32455.668
549.7215	32559.101
550.0103	32723.387
550.2992	32848.944
550.5881	33051.388
550.877	33177.378
551.1659	33425.914
551.4548	33512.199
551.7437	33843.137
552.0326	34054.481
552.3215	34393.669
552.6104	34450.481
552.8993	34693.161
553.1882	34795.853
553.4771	35093.038
553.766	35283.991
554.0549	35528.87
554.3438	35620.11
554.6326	36011.0
554.9215	36025.682
555.2104	36177.842
555.4993	36489.713
555.7882	36630.245
556.0771	36713.642
556.366	36973.167
556.6549	37003.28
556.9438	37263.727
557.2327	37454.172
557.5216	37646.377
557.8105	37784.27
558.0994	37927.032
558.3883	38069.449
558.6772	38486.738
558.9661	38621.156
559.2549	38660.013
559.5438	38793.058
559.8327	38993.873
560.1216	39009.85
560.4105	39163.192
560.6994	39305.248
560.9883	39461.215
561.2772	39465.818
561.5661	39669.304
561.855	39883.061
562.1439	40115.446
562.4328	40280.087
562.7217	40514.796
563.0106	40706.996
563.2995	41082.896
563.5884	41065.937
563.8772	41305.286
564.1661	41324.593
564.455	41486.581
564.7439	41615.005
565.0328	41756.152
565.3217	41799.504
565.6106	42017.231
565.8995	42111.589
566.1884	42243.507
566.4773	42371.974
566.7662	42656.714
567.0551	42813.338
567.344	43008.4
567.6329	43184.514
567.9218	43319.143
568.2107	43579.263
568.4995	43765.225
568.7884	43933.743
569.0773	44230.871
569.3662	44455.564
569.6551	44667.886
569.944	44914.247
570.2329	45023.617
570.5218	45275.793
570.8107	45573.653
571.0996	45841.582
571.3885	45983.088
571.6774	46265.493
571.9663	46482.462
572.2552	46626.308
572.5441	46803.124
572.833	47062.688
573.1218	47295.83
573.4107	47420.524
573.6996	47216.976
573.9885	47118.043
574.2774	47193.554
574.5663	47104.852
574.8552	47015.141
575.1441	47078.758
575.433	46858.445
575.7219	46996.033
576.0108	46924.842
576.2997	46929.914
576.5886	46717.212
576.8775	46944.913
577.1664	46938.827
577.4553	47103.809
577.7441	47036.524
578.033	47120.403
578.3219	47206.451
578.6108	47319.605
578.8997	47278.251
579.1886	47393.922
579.4775	47451.31
579.7664	47397.47
580.0553	47446.17
